Starting...
Gathering coverage... go: no module dependencies to download
done in 41.920268702s
      KILLED ARITHMETIC_BASE at spec.go:129:43
   TIMED OUT INCREMENT_DECREMENT at retry.go:165:73
      KILLED ARITHMETIC_BASE at spec.go:129:32
      KILLED INVERT_NEGATIVES at spec.go:129:32
       LIVED ARITHMETIC_BASE at spec.go:131:40
      KILLED CONDITIONALS_NEGATION at spec.go:151:29
       LIVED INVERT_NEGATIVES at spec.go:131:29
      KILLED ARITHMETIC_BASE at spec.go:170:24
      KILLED CONDITIONALS_NEGATION at spec.go:142:41
      KILLED CONDITIONALS_NEGATION at spec.go:173:14
       LIVED ARITHMETIC_BASE at spec.go:131:29
      KILLED CONDITIONALS_BOUNDARY at spec.go:167:17
      KILLED INVERT_NEGATIVES at spec.go:138:16
      KILLED CONDITIONALS_NEGATION at spec.go:138:29
      KILLED CONDITIONALS_NEGATION at spec.go:167:17
      KILLED CONDITIONALS_NEGATION at spec.go:249:37
      KILLED ARITHMETIC_BASE at spec.go:138:16
       LIVED CONDITIONALS_BOUNDARY at spec.go:142:41
      KILLED CONDITIONALS_NEGATION at spec.go:250:41
      KILLED INVERT_NEGATIVES at spec.go:142:28
      KILLED ARITHMETIC_BASE at spec.go:142:28
   TIMED OUT ARITHMETIC_BASE at spec.go:98:15
   TIMED OUT ARITHMETIC_BASE at spec.go:80:15
      KILLED CONDITIONALS_BOUNDARY at spec.go:250:41
      KILLED CONDITIONALS_BOUNDARY at spec.go:249:37
      KILLED CONDITIONALS_NEGATION at spec.go:252:19
      KILLED CONDITIONALS_BOUNDARY at spec.go:252:40
      KILLED ARITHMETIC_BASE at spec.go:118:20
       LIVED CONDITIONALS_BOUNDARY at spec.go:173:14
      KILLED CONDITIONALS_NEGATION at spec.go:208:14
       LIVED CONDITIONALS_NEGATION at spec.go:189:16
      KILLED CONDITIONALS_NEGATION at spec.go:225:15
      KILLED CONDITIONALS_BOUNDARY at spec.go:252:19
   TIMED OUT CONDITIONALS_NEGATION at spec.go:128:14
      KILLED CONDITIONALS_NEGATION at spec.go:252:40
   TIMED OUT ARITHMETIC_BASE at spec.go:219:15

Mutation testing completed in 10 minutes 40 seconds
Killed: 281, Lived: 41, Not covered: 6
Timed out: 12, Not viable: 0, Skipped: 0
Test efficacy: 87.27%
Mutator coverage: 98.17%
